,cgpa,Critical Thinking,Problem Solving,Public Speaking,Professional Writing,Team Work,Leadership & Professional Attitude,Mass Communication,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
98,3,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,0,4,"Social Acceptance,Job Environment",Software Development
99,3.62,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Job Security,Cyber Security
100,2.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,flaxible Work Life Balanced,Software Development
101,3.25,2,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,0,3,"Social Acceptance,Job Environment","Software Development,Teaching,Govt Job"
102,3.48,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,Job Environment,Teaching
103,3,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,1,0,3,Social Acceptance,Govt Job
104,3.81,2,1,1,2,2,2,2,2,1,1,2,2,0,0,0,1,0,0,0,0,2,Job Environment,Teaching
105,3.25,3,3,1,2,3,3,2,3,3,2,2,3,2,2,2,2,2,2,1,0,4,"Social Acceptance,Job Security,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer"
106,3.3,1,1,2,2,3,3,3,2,2,3,2,2,3,3,3,2,1,1,2,0,4,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Bank Job"
107,3.51,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,0,1,0,2,Salary,Software Development
108,3.48,2,1,1,2,2,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,2,Job Security,Govt Job
109,3.48,2,2,3,3,3,2,3,2,3,3,2,1,3,3,3,1,2,1,1,0,5,"Job Security,Job Environment,Salary,flaxible Work Life Balanced","Networking,Data Analysis,Management,Bank Job,BCS,Govt Job,Abroad"
110,3.22,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1,Job Security,Software Development
111,3.85,3,3,2,1,2,2,1,2,3,3,1,1,2,2,1,1,1,1,1,0,1,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Abroad"
112,3.41,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"Social Acceptance,Job Security,Job Environment,Salary","Bank Job,BCS,Govt Job,Abroad"
113,3.271183673,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,0,4,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Business"
114,3,1,1,2,0,2,3,0,0,1,1,0,0,2,1,0,0,0,1,0,0,1,Job Environment,Software Development
115,3.1,2,3,2,2,1,1,1,2,3,1,1,1,2,1,2,1,1,1,1,0,2,"Job Security,flaxible Work Life Balanced","Software Development,Database Administration,Data Analysis,ML/AI Engineer,Abroad"
116,3.3,2,3,2,1,3,2,2,2,2,2,1,2,2,1,2,1,1,1,2,0,2,Job Security,Software Development
117,3,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,3,"Job Security,Job Environment,Salary","Software Development,Data Analysis,ML/AI Engineer"
118,3.4,1,0,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,1,0,2,flaxible Work Life Balanced,ML/AI Engineer
119,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,Job Environment,"Database Administration,Data Analysis"
120,3.21,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,2,1,1,1,0,11,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Bank Job,BCS,Govt Job"
121,3.5,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,0,1,Job Security,Govt Job
122,3.24,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,0,5,"Job Environment,Salary,flaxible Work Life Balanced","ML/AI Engineer,Abroad"
123,2.85,3,2,3,1,3,3,3,0,0,0,3,2,2,2,2,0,0,0,0,0,5,flaxible Work Life Balanced,"Software Development,Teaching,Bank Job,Business,Govt Job"
124,3.39,2,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,1,1,1,0,4,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Abroad"
125,3,1,1,1,2,2,2,3,2,1,2,1,3,0,1,1,1,1,1,1,0,2,"Job Security,Salary",Software Development
126,2.74,2,1,3,2,1,2,2,1,1,1,2,2,1,1,1,1,0,1,1,0,2,"Social Acceptance,Job Security,Salary","Software Development,Data Analysis,Abroad"
127,2.8,2,2,2,2,2,2,2,2,1,2,1,1,2,3,2,1,1,2,2,0,6,"Job Security,Job Environment,Salary","Software Development,Database Administration,Data Analysis,Gaming,Teaching,Bank Job,Govt Job,Abroad"
