,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
141,Female,3rd,3.46,University of Rajshahi (RU),1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,0,0,Social Acceptance,Other
142,Male,3rd,3.21,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,2,1,1,1,2,2,2,3,2,1,1,1,1,0,11,"Job Security,Salary,flaxible Work Life Balanced","Software Development,Bank Job,BCS,Govt Job"
143,Male,4th,2.75,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,0,4,Job Security,"BCS,Govt Job"
144,Male,4th,3.2740754716981133,Jahangirnagar University (JU),2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,5,"Job Security,Salary,flaxible Work Life Balanced","Cyber Security,Researcher,BCS,Govt Job"
145,Male,4th,3.49,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,1,1,1,2,3,1,3,2,2,1,1,1,1,1,0,65,"Job Security,Salary,flaxible Work Life Balanced","Software Development,Database Administration,Govt Job"
146,Male,4th,3.55,University of Dhaka (DU),3,3,0,3,3,3,3,2,3,1,0,1,1,2,0,2,1,3,Social Acceptance,Software Development
147,Male,4th,3.85,University of Dhaka (DU),2,2,2,2,1,1,2,2,1,1,1,2,1,2,0,3,3,0,Social Acceptance,"Researcher,Abroad"
148,Male,4th,3.11,University of Dhaka (DU),3,3,3,2,0,3,3,2,3,0,2,1,1,1,1,1,0,4,Social Acceptance,"Software Development,Database Administration"
149,Female,4th,3.5,University of Dhaka (DU),2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,Job Security,"Bank Job,BCS,Govt Job"
150,Male,4th,2.98,University of Dhaka (DU),3,3,3,2,3,3,3,2,3,2,2,2,1,2,2,1,0,5,"Social Acceptance,Job Environment","Software Development,Database Administration"
151,Male,4th,3.8,Bangladesh University of Engineering & Technology (BUET),3,3,3,2,2,2,1,3,1,2,2,2,1,3,3,3,5,1,Social Acceptance,"Researcher,Abroad"
152,Male,4th,3.5,Bangladesh University of Engineering & Technology (BUET),3,3,3,1,3,3,3,2,3,2,2,1,1,1,1,1,1,5,Job Security,"Software Development,Database Administration,Data Analysis"
153,Male,4th,3.1,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,3,3,2,2,2,1,1,2,2,2,1,1,1,1,2,0,50,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Gaming"
154,Male,4th,2.89,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1,0,6,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced",Software Development
155,Male,4th,2.92,Patuakhali  Science and technology university (PSTU),2,2,2,3,2,2,3,1,3,2,2,1,1,2,2,1,0,5,flaxible Work Life Balanced,Software Development
156,Male,4th,3.08,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,2,2,3,2,2,2,2,3,3,2,2,1,2,2,2,0,5,"Social Acceptance,Job Security,flaxible Work Life Balanced","Software Development,Management,Teaching,Govt Job"
157,Male,4th,2.7,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,1,0,6,Social Acceptance,BCS
158,Female,4th,3.39,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,1,2,2,2,2,1,2,1,1,2,2,0,2,1,2,0,4,"Job Environment,Salary","Software Development,Teaching,Business,Abroad"
159,Male,4th,2.76,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,1,2,2,2,2,2,3,2,2,1,1,1,2,1,1,0,4,"Social Acceptance,Job Security,Salary","Software Development,Data Analysis,Abroad"
160,Male,4th,2.95,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,"Job Security,Salary","Software Development,Abroad"
161,Male,4th,3.0,Patuakhali  Science and technology university (PSTU),1,1,2,3,2,2,3,2,3,1,2,2,1,2,2,1,2,6,"Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Database Administration,Data Analysis,UI/UX Designing,ML/AI Engineer,Abroad,Other"
162,Male,4th,3.83,University of Rajshahi (RU),2,1,3,2,1,1,2,2,1,1,1,1,1,1,1,3,5,0,"Job Security,flaxible Work Life Balanced",Abroad
163,Male,4th,3.18,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,1,1,2,2,3,2,1,2,2,3,2,2,1,1,0,4,"Job Security,flaxible Work Life Balanced","Software Development,Database Administration,Data Analysis,ML/AI Engineer,Gaming"
164,Male,4th,3.34,Patuakhali  Science and technology university (PSTU),1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,3,"Social Acceptance,flaxible Work Life Balanced",BCS
165,Male,4th,3.38,University of Chittagong (CU),3,3,3,1,3,3,3,2,3,1,1,1,2,2,1,1,0,5,Social Acceptance,"Software Development,Database Administration"
166,Male,4th,3.55,University of Chittagong (CU),3,1,3,3,1,1,1,1,1,1,2,1,1,1,1,2,0,0,Job Security,"Bank Job,BCS,Govt Job"
167,Male,4th,3.92,University of Chittagong (CU),3,1,3,3,2,2,1,1,1,3,3,1,1,1,1,3,5,1,flaxible Work Life Balanced,Abroad
168,Male,4th,2.92,University of Chittagong (CU),3,3,3,2,3,3,3,2,3,2,3,2,1,2,2,1,0,5,Job Security,"Software Development,Database Administration"
169,Male,4th,3.05,Rajshahi University of Engineering & Technology (RUET),1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,4,flaxible Work Life Balanced,Software Development
170,Male,4th,3.78,Rajshahi University of Engineering & Technology (RUET),2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2,"Job Security,Job Environment,flaxible Work Life Balanced","Software Development,Networking,Data Analysis,ML/AI Engineer,Teaching,Researcher,Abroad"
171,Male,4th,3.01,Rajshahi University of Engineering & Technology (RUET),2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,0,4,"Job Security,Job Environment,Salary","Software Development,Bank Job,Abroad"
