,cgpa,Critical Thinking,Problem Solving,Public Speaking,Professional Writing,Team Work,Leadership & Professional Attitude,Mass Communication,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project
214,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
215,3.2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,4
216,3.64,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,0,0
217,3.7,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,0,3
218,3.3,2,2,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,1,0,3
219,3.89,2,2,2,1,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,2
220,3.09,1,2,1,2,1,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,1
221,3.26,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,3
222,3.56,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,10
223,3,2,3,2,2,3,3,2,2,2,2,2,1,1,2,1,1,1,1,1,0,3
224,3.2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,4
225,3.4,3,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1
226,2.88,1,2,1,2,2,2,2,1,1,2,2,2,3,3,1,1,1,1,1,0,2
227,3.71,2,2,1,1,2,2,1,1,3,3,1,3,1,1,1,1,1,1,1,0,2
228,3.66,1,2,2,2,2,2,2,2,2,2,1,1,1,0,2,2,2,2,2,0,2
229,3.57,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,1,0,1,1,2,2
230,3.27,1,2,1,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,3
231,3.33,2,2,1,1,2,2,3,2,3,2,1,1,1,1,1,1,1,1,1,0,0
232,3.2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,9
233,3.15,3,3,2,2,3,2,1,2,3,3,1,2,2,3,2,2,2,2,2,0,4
234,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5
235,3.91,2,2,1,2,3,2,2,2,2,2,2,3,2,2,1,2,3,2,3,0,4
236,3.63,1,2,2,3,3,3,2,2,2,2,2,3,2,2,2,2,1,1,1,0,10
237,3.16,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2
238,3.67,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,5
239,3.15,2,1,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240,3.41,3,2,2,3,3,3,2,3,2,3,2,3,3,3,3,3,2,2,2,0,7
241,3.52,2,2,2,1,3,2,3,2,2,2,2,1,3,2,3,2,2,2,2,1,2
242,3.54,2,2,1,1,2,2,1,0,2,1,1,0,1,0,0,0,0,0,0,0,1
243,3.32,2,2,2,1,2,2,2,1,2,1,1,0,1,1,1,1,1,1,1,0,2
244,3.71,3,3,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,0,2
245,3.69,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,0,2
246,3.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
247,3,2,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,0,4
248,3.62,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
249,2.93,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
250,3.26,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,0,3
251,3.48,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,2
252,3.66,2,2,3,2,2,2,1,2,2,2,3,3,1,1,1,0,2,0,0,1,5
